alcaldia,accidentes
CUAUHTEMOC,156
MIGUEL HIDALGO,81
BENITO JUAREZ,74
IZTAPALAPA,69
COYOACAN,54
VENUSTIANO CARRANZA,44
GUSTAVO A MADERO,44
AZCAPOTZALCO,44
XOCHIMILCO,32
IZTACALCO,32
TLALPAN,18
TLAHUAC,16
ALVARO OBREGON,15
CUAJIMALPA,5
MAGDALENA CONTRERAS,1
MILPA ALTA,1
