hora,accidentes
0,4600
1,3109
2,2235
3,1897
4,1756
5,2596
6,5898
7,9559
8,11953
9,11408
10,10727
11,11515
12,13133
13,15816
14,19418
15,18865
16,16983
17,15861
18,18605
19,19844
20,20305
21,17311
22,12329
23,7171
