hora,accidentes
0,66
1,49
2,42
3,38
4,47
5,61
6,133
7,173
8,261
9,215
10,222
11,190
12,205
13,227
14,266
15,243
16,208
17,199
18,210
19,221
20,221
21,242
22,144
23,88
