colonia,accidentes
CENTRO,414
,328
ROMA NORTE,229
JUAREZ,191
BOSQUE DE CHAPULTEPEC I SECCION,157
CUAUHTEMOC,135
AGRICOLA ORIENTAL,124
DOCTORES,124
GUERRERO,118
SANTA MARIA LA RIBERA,117
ROMA SUR,113
BOSQUE DE CHAPULTEPEC II SECCION,112
HIPODROMO,110
DEL VALLE NORTE,106
TABACALERA,101
CIUDAD UNIVERSITARIA,97
AJUSCO,83
OBRERA,83
AGRICOLA PANTITLAN,81
MORELOS,80
