hora,accidentes
0,249
1,1511
2,1345
3,1439
4,1406
5,1452
6,1504
7,1990
8,2486
9,2414
10,2199
11,1970
12,1686
13,344
14,391
15,422
16,474
17,407
18,411
19,382
20,431
21,389
22,366
23,320
