colonia,accidentes
CENTRO,1032
DOCTORES,356
JUAREZ,350
MORELOS,322
GUERRERO,317
AGRICOLA ORIENTAL,311
ROMA NTE,288
STA MA LA RIBERA,261
NARVARTE PTE,238
AGRICOLA PANTITLAN,233
OBRERA,230
SAN PEDRO DE LOS PINOS,218
CUAUHTEMOC,186
GRANJAS MEXICO,178
JARDIN BALBUENA,177
ROMA SUR,174
CAMPESTRE CHURUBUSCO,167
MOCTEZUMA 2A SECC,164
AJUSCO,158
LEYES DE REFORMA 3A SECC,156
