alcaldia,accidentes
CUAUHTÉMOC,70
MIGUEL HIDALGO,42
BENITO JUÁREZ,29
IZTAPALAPA,22
COYOACÁN,17
GUSTAVO A. MADERO,17
TLALPAN,10
IZTACALCO,10
ÁLVARO OBREGÓN,9
VENUSTIANO CARRANZA,7
AZCAPOTZALCO,5
TLÁHUAC,4
LA MAGDALENA CONTRERAS,2
XOCHIMILCO,1
