alcaldia,accidentes
IZTAPALAPA,48647
CUAUHTÉMOC,38733
GUSTAVO A. MADERO,31254
COYOACÁN,19260
VENUSTIANO CARRANZA,18124
BENITO JUÁREZ,17697
ÁLVARO OBREGÓN,16863
MIGUEL HIDALGO,15802
TLALPAN,14657
IZTACALCO,13062
AZCAPOTZALCO,11629
XOCHIMILCO,10083
TLÁHUAC,8118
LA MAGDALENA CONTRERAS,3676
CUAJIMALPA DE MORELOS,3351
MILPA ALTA,1500
