hora,accidentes
0,4613
1,3507
2,2784
3,2372
4,2056
5,2418
6,3516
7,4326
8,5193
9,4664
10,4192
11,4029
12,4299
13,4920
14,5652
15,6511
16,6832
17,7479
18,8363
19,8738
20,9004
21,8850
22,7519
23,6007
