colonia,accidentes
CENTRO,32
GUERRERO,12
AGRICOLA ORIENTAL,12
JUAREZ,11
ROMA NTE,9
DOCTORES,9
CUAUHTEMOC,8
ROMA SUR,8
POLANCO 4A SECC,8
STA MA LA RIBERA,8
SAN PEDRO DE LOS PINOS,7
BUENAVISTA,7
DEL VALLE CENTRO,6
TABACALERA,6
EX HIPODROMO DE PERALVILLO,6
LEYES DE REFORMA 3A SECC,6
JARDIN BALBUENA,6
GRANADA,6
MORELOS,5
NATIVITAS,5
