alcaldia,accidentes
CUAUHTEMOC,4993
IZTAPALAPA,3844
GUSTAVO A MADERO,3327
MIGUEL HIDALGO,2756
COYOACAN,2483
BENITO JUAREZ,2338
VENUSTIANO CARRANZA,2200
ALVARO OBREGON,2010
TLALPAN,1607
AZCAPOTZALCO,1417
IZTACALCO,1342
XOCHIMILCO,860
TLAHUAC,668
MAGDALENA CONTRERAS,335
CUAJIMALPA,321
MILPA ALTA,153
