hora,accidentes
0,316
1,1567
2,1393
3,1480
4,1454
5,1519
6,1648
7,2199
8,2798
9,2688
10,2458
11,2200
12,1929
13,607
14,694
15,697
16,729
17,642
18,665
19,645
20,702
21,662
22,532
23,422
