alcaldia,accidentes
IZTAPALAPA,70972
CUAUHTÉMOC,54247
GUSTAVO A. MADERO,46731
COYOACÁN,28572
VENUSTIANO CARRANZA,28280
ÁLVARO OBREGÓN,27517
BENITO JUÁREZ,25898
TLALPAN,25019
MIGUEL HIDALGO,24600
IZTACALCO,19415
AZCAPOTZALCO,17209
XOCHIMILCO,16698
TLÁHUAC,12734
CUAJIMALPA DE MORELOS,6050
LA MAGDALENA CONTRERAS,5969
MILPA ALTA,2663
