hora,accidentes
0,3
1,2
2,2
3,0
4,0
5,3
6,4
7,4
8,15
9,11
10,11
11,11
12,11
13,25
14,28
15,20
16,12
17,15
18,23
19,18
20,12
21,7
22,4
23,3
