colonia,accidentes
,4084
CENTRO,2173
AGRICOLA ORIENTAL,1574
MORELOS,1229
AGRICOLA PANTITLAN,1100
CHINAMPAC DE JUAREZ,1083
JARDIN BALBUENA,971
DOCTORES,902
ROMA NORTE,845
OBRERA,791
MOCTEZUMA 2A. SECCION,788
GUERRERO,757
GRANJAS MEXICO,746
JUAREZ,704
SANTA MARIA LA RIBERA,610
SANTA MARTHA ACATITLA NORTE,602
CUAUHTEMOC,593
UNIDAD VICENTE GUERRERO,572
UNIDAD SANTA CRUZ MEYEHUALCO,565
JUAN ESCUTIA,563
