alcaldia,accidentes
IZTAPALAPA,20700
GUSTAVO A. MADERO,14404
CUAUHTÉMOC,13210
ÁLVARO OBREGÓN,10124
TLALPAN,9719
VENUSTIANO CARRANZA,9555
COYOACÁN,8330
MIGUEL HIDALGO,7714
BENITO JUÁREZ,7082
XOCHIMILCO,6029
IZTACALCO,5801
AZCAPOTZALCO,4973
TLÁHUAC,4265
CUAJIMALPA DE MORELOS,2561
LA MAGDALENA CONTRERAS,2130
MILPA ALTA,1039
