colonia,accidentes
CENTRO,11647
NAN,8026
AGRICOLA ORIENTAL,5172
MORELOS,4765
ROMA NORTE,3839
AGRICOLA PANTITLAN,3795
DOCTORES,3741
GUERRERO,3243
OBRERA,3164
JUAREZ,3141
CHINAMPAC DE JUAREZ,3066
PEDREGAL DE SANTO DOMINGO,2666
SANTA MARIA LA RIBERA,2532
JARDIN BALBUENA,2282
AJUSCO,2279
BUENAVISTA,2257
CUAUHTEMOC,2177
CENTRAL DE ABASTO,2138
GRANJAS MEXICO,2053
MOCTEZUMA 2A. SECCION,1988
