alcaldia,accidentes
CUAUHTEMOC,764
IZTAPALAPA,592
GUSTAVO A MADERO,363
MIGUEL HIDALGO,329
COYOACAN,314
ALVARO OBREGON,253
VENUSTIANO CARRANZA,250
BENITO JUAREZ,230
AZCAPOTZALCO,205
TLALPAN,200
IZTACALCO,145
XOCHIMILCO,104
TLAHUAC,94
MAGDALENA CONTRERAS,51
CUAJIMALPA,47
MILPA ALTA,30
