alcaldia,accidentes
CUAUHTEMOC,4073
IZTAPALAPA,3183
GUSTAVO A MADERO,2920
MIGUEL HIDALGO,2346
COYOACAN,2115
BENITO JUAREZ,2034
VENUSTIANO CARRANZA,1905
ALVARO OBREGON,1742
TLALPAN,1389
AZCAPOTZALCO,1168
IZTACALCO,1165
XOCHIMILCO,724
TLAHUAC,558
MAGDALENA CONTRERAS,283
CUAJIMALPA,269
MILPA ALTA,122
