hora,accidentes
0,9387
1,6722
2,5091
3,4312
4,3843
5,5065
6,9561
7,14199
8,17713
9,16718
10,15584
11,16205
12,18169
13,21535
14,26023
15,26334
16,24625
17,24153
18,27888
19,29446
20,30044
21,26776
22,20307
23,13515
