colonia,accidentes
CENTRO,9060
,3614
AGRICOLA ORIENTAL,3474
MORELOS,3456
ROMA NORTE,2765
DOCTORES,2715
AGRICOLA PANTITLAN,2614
GUERRERO,2368
OBRERA,2290
JUAREZ,2246
PEDREGAL DE SANTO DOMINGO,2080
CHINAMPAC DE JUAREZ,1930
SANTA MARIA LA RIBERA,1805
BUENAVISTA,1700
AJUSCO,1650
CENTRAL DE ABASTO,1556
NARVARTE PONIENTE,1499
CUAUHTEMOC,1449
ZONA CENTRO,1442
ROMA SUR,1337
