colonia,accidentes
CENTRO,781
DOCTORES,295
JUAREZ,290
MORELOS,273
AGRICOLA ORIENTAL,267
GUERRERO,254
ROMA NTE,235
STA MA LA RIBERA,208
NARVARTE PTE,201
AGRICOLA PANTITLAN,201
SAN PEDRO DE LOS PINOS,199
OBRERA,190
JARDIN BALBUENA,161
CUAUHTEMOC,160
GRANJAS MEXICO,157
ROMA SUR,151
MOCTEZUMA 2A SECC,146
CAMPESTRE CHURUBUSCO,143
VALLEJO,136
AJUSCO,135
