hora,accidentes
0,1
1,7
2,6
3,3
4,1
5,6
6,11
7,36
8,51
9,59
10,37
11,40
12,38
13,36
14,37
15,32
16,47
17,36
18,44
19,42
20,50
21,31
22,21
23,14
